Frequency Band,Frequency Band Size,Availability,Licensee,Assigned Frequencies,Ch Bandwidth assigned (duplex),Application,Comment
900 MHz GSM,880 MHz - 960 MHz,No Spare capacity left,Cell - C,882.7 - 889.5 MHz // 927.7 - 934.5 MHz,2x11 MHz FDD,GSM 900 Mobile,E-GSM channels 988 - 1021
,,,,904.3 - 905.7 MHz // 949.3 - 950.7 MHz,,,GSM900 channels 72 - 78
,,,MTN,901.5 - 903.9 MHz // 946.5 - 948.9 MHz,2x11 MHz FDD,GSM 900 Mobile,GSM900 channels 58 - 69
,,,,906.1 - 914.7 MHz // 951.1 - 959.7 MHz,,,GSM900 channels 81 - 123
,,,Vodacom,890.1 - 901.1 MHz // 935.1 - 946.1 MHz,2x11 MHz FDD,GSM 900 Mobile,GSM900 channels 1 - 55
Frequency Band,Frequency Band Size,Availability,Licensee,Assigned Frequencies,Ch Bandwidth assigned(duplex),Application,Comment
1.3 -1.5 GHz shared duplex band with reserved channels,1350 - 1517 MHz,"No New assignments on ""old"" plan. Spectrum is available on a radio co-ordinated basis, all  depending on the area or location of a link, the network layout and other technical parameters",Armscor (ad hoc),,28x 2.2 MHz FDD,Defence Research: Mobile,"""Old"" 1.4 GHz band (due for migration)"
,,,ATNS (ad hoc),,2x5 MHz FDD,Radar,"""Old"" 1.4 GHz band (due for migration)"
,,,DENEL (ad hoc),,36x3.5 MHz FDD,Links,"""Old"" 1.4 GHz band (due for migration)"
,,,Ekurhuleni Metro (ad hoc,,pending approval,Links,"""new"" 1.4 GHz band"
,,,Eskom (national & ad hoc),,6x 500 kHz FDD,Links,"""new"" 1.4 GHz band"
,,,Eskom (national & ad hoc),,2x 3.5 MHz FDD,,"""Old"" 1.4 GHz band (due for migration)"
,,,National Research Foundation (ad hoc),,4x 250 kHz FDD,Links,"""new"" 1.4 GHz band"
,,,Nelson Mandela Metro (ad hoc),,4x 500 kHz FDD,Links,"""new"" 1.4 GHz band"
,,,SANDF (national)(simplex radar frequency),,10x 5 MHz Simplex,Mobile Search  Radar,"""Old"" 1.4 GHz band (due for migration)"
,,,SANDF (national),,12x 1.75 MHz FDD,Links,"""Old"" 1.4 GHz band (due for migration)"
